trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.4, 'e': 0.6325000000000078}",25,15,7.8301636847819776,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.6300000000000079}",25,1,-14.599571495447131,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
149,False,"{'a': 0.4, 'e': 0.6275000000000079}",25,0,-36.681650498893426,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
150,False,"{'a': 0.4, 'e': 0.625000000000008}",25,10,-61.38425743062182,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 1}",1
151,False,"{'a': 0.4, 'e': 0.622500000000008}",20,2,-141.66572288659916,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 3}",1
152,False,"{'a': 0.4, 'e': 0.6200000000000081}",25,0,-52.39701043362517,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
153,False,"{'a': 0.4, 'e': 0.6175000000000082}",20,0,-24.356162569345503,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
154,False,"{'a': 0.4, 'e': 0.6150000000000082}",20,0,-62.91851649577782,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
155,False,"{'a': 0.4, 'e': 0.6125000000000083}",30,10,-21.735028219834547,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
156,False,"{'a': 0.4, 'e': 0.6100000000000083}",20,1,-100.88703434427507,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 1}",1
157,False,"{'a': 0.4, 'e': 0.6075000000000084}",30,0,-33.43488704925203,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
158,False,"{'a': 0.4, 'e': 0.6050000000000084}",20,12,-5.470886497578361,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.4, 'e': 0.6025000000000085}",25,2,-90.36669779315103,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 2}",1
160,False,"{'a': 0.4, 'e': 0.6000000000000085}",30,0,-83.29518876174838,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
161,False,"{'a': 0.4, 'e': 0.5975000000000086}",30,0,-73.11058351278253,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
162,False,"{'a': 0.4, 'e': 0.5950000000000086}",25,8,-113.65261391849423,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
163,False,"{'a': 0.4, 'e': 0.5925000000000087}",20,0,-157.6529170440555,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
164,False,"{'a': 0.4, 'e': 0.5900000000000087}",20,0,-42.83859141879643,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
165,False,"{'a': 0.4, 'e': 0.5875000000000088}",30,0,-37.7306191110941,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
166,False,"{'a': 0.4, 'e': 0.5850000000000088}",20,0,-156.26255779848393,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
167,False,"{'a': 0.4, 'e': 0.5825000000000089}",30,0,17.27152490873109,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.4, 'e': 0.580000000000009}",25,19,4.427393679195847,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.577500000000009}",25,13,7.265381736683198,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.4, 'e': 0.5750000000000091}",20,0,-88.40642112004801,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
171,False,"{'a': 0.4, 'e': 0.5725000000000091}",30,10,-71.61170794714491,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
172,False,"{'a': 0.4, 'e': 0.5700000000000092}",30,3,4.085271390323411,"{0: 22, 1: 4, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.5675000000000092}",25,0,-176.903188434607,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
174,False,"{'a': 0.4, 'e': 0.5650000000000093}",20,0,-47.12525706097136,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
175,False,"{'a': 0.4, 'e': 0.5625000000000093}",20,0,-37.1213350413953,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
176,False,"{'a': 0.4, 'e': 0.5600000000000094}",20,7,8.836275046314256,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.4, 'e': 0.5575000000000094}",20,6,8.738669023889212,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4, 'e': 0.5550000000000095}",20,0,-132.290796440123,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
179,False,"{'a': 0.4, 'e': 0.5525000000000095}",25,14,-46.38800798411003,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
180,False,"{'a': 0.4, 'e': 0.5500000000000096}",20,0,-28.401697276389342,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
181,False,"{'a': 0.4, 'e': 0.5475000000000096}",25,0,-7.074137264504623,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
182,False,"{'a': 0.4, 'e': 0.5450000000000097}",25,11,-81.59869228918589,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
